13726230503    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
13726230513    00-FD-07-A4-72-B8:CMCC    120.196.40.8    i02.c.aliimg.com        248    0    200
13826230523    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
13726230533    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
13726230543    00-FD-07-A4-72-B8:CMCC    120.196.100.82    视频网站            1527    2106    200
13926230553    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
13826230563    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
13926230573    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
18912688533    00-FD-07-A4-72-B8:CMCC    220.196.100.82    综合门户            1938    2910    200
18912688533    00-FD-07-A4-72-B8:CMCC    220.196.100.82    i02.c.aliimg.com    3333    21321    200
13726230503    00-FD-07-A4-72-B8:CMCC    120.196.100.82    搜索引擎            9531    9531    200
13826230523    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
13726230503    00-FD-07-A4-72-B8:CMCC    120.196.100.82    i02.c.aliimg.com    2481    24681    200
